axis,doi_or_url,year,source_type,first_author_or_tool,fitting_software,uncertainty_reported,comparison_method,domain,notes
01_primary,10.1016/j.foodres.2026.119162,2026,primary_paper,Mechanistic insights into Salmonella growth kinetics under solute-induced water ,not in abstract,not_specified,not in abstract,predictive_microbiology,PMID 42116454; combined Gompertz + Norrish equation; lag time / max growth rate reported; no CIs mentioned
01_primary,10.3389/fmicb.2026.1791223,2026,primary_paper,Kinetic data analysis for probiotic Lacticaseibacillus rhamnosus GG growth and p,not in abstract,none_point_only,none,predictive_microbiology,PMID 42112441; compared Baranyi-Roberts vs new logistic; R2 and RMSE only - no parameter uncertainty
01_primary,10.1016/j.ijfoodmicro.2026.111803,2026,primary_paper,Ozone-mediated microbial succession and kinetic for refrigerated grass carp fill,not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 42019235; Gompertz primary + square root secondary; R2 reported but no CIs
01_primary,10.3390/ani16091314,2026,primary_paper,"A Large Lizard in a Small Islet: Abundance, Body Growth, and Diet of Podarcis pi",not in abstract,not_specified,not_specified,other,PMID 42121734; LIZARD body growth not microbial - excluded but logged for transparency
01_primary,10.3390/ani16030415,2026,primary_paper,Partial and Total Substitution of Soybean Meal with Black Soldier Fly Larvae Mea,not in abstract,not_specified,ANOVA,other,PMID 41681396; quail growth - off-topic but logged
01_primary,10.5713/ab.250655,2026,primary_paper,Predictive modeling of Salmonella Thompson growth in unpasteurized liquid egg pr,not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 41679273; Baranyi best fit; no CIs in abstract
01_primary,10.1016/j.ajo.2026.04.002,2026,primary_paper,In Vitro Study of Microbial Growth in Artificial Tears Using a Novel Kinetic and,not in abstract,not_specified,not_specified,microbiology,PMID 41956347; S. aureus + P. aeruginosa in artificial tears; turbidity OD-based; reports P<0.001 group differences
01_primary,10.1016/j.micpath.2026.108436,2026,primary_paper,Biological activities of Lippia gracilis Schauer essential oil and modelling of ,not in abstract,none_point_only,not_specified,antimicrobial,PMID 41825723; Baranyi R2 0.84-0.99; no parameter CIs
01_primary,10.3390/microorganisms14010133,2026,primary_paper,Impact of Submerged Fermentation Parameters on Proteins Extracted from Ganoderma,not in abstract,none_point_only,not_specified,microbiology,PMID 41597654; estimated mu = 0.0068 h-1; no uncertainty reported
01_primary,10.1016/j.fm.2025.104866,2026,primary_paper,Storage stability of purple glutinous rice: Kinetic modeling of Penicillium citr,not in abstract,not_specified,not_specified,predictive_microbiology,PMID 40889857; P. citrinum + cardinal model; ergosterol biomass marker
01_primary,10.7717/peerj.17879,2025,primary_paper,Kinetic parameters of Scenedesmus obliquus growth and yield under different cult,not in abstract,none_point_only,none,microbiology,PMID 40821995; R2 0.65-0.99; no parameter CIs in abstract
01_primary,10.1016/j.fm.2025.104854,2025,primary_paper,"Fate of Salmonella, Escherichia coli, and Listeria monocytogenes in dark leafy g",not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 40683734; Baranyi R2 0.474-0.997; wide R2 range suggests model misspec but not acknowledged
01_primary,10.1016/j.ijfoodmicro.2025.111343,2025,primary_paper,"Listeria monocytogenes growth under well-controlled CO2, pH, and temperature con",not in abstract,not_specified,not_specified,predictive_microbiology,"PMID 40652695; compared logistic, Gompertz, Baranyi; Baranyi best fit; mu values reported as point estimates"
01_primary,10.1371/journal.pcbi.1013110,2025,primary_paper,Variance in C. elegans gut bacterial load suggests complex host-microbe dynamics,not in abstract,not_specified,not_specified,microbiology,PMID 40489496; rejects standard logistic; proposes stochastic switching; advocates mathematical modeling
01_primary,10.1016/j.jenvman.2025.125824,2025,primary_paper,Expedited screening of methanotroph-microalgae cocultures for integrated biogas ,not in abstract,not_specified,not_specified,synthetic_biology,PMID 40466306; 9-reactor parallel screening; mu/lag/K estimated
01_primary,10.1007/s10068-025-01835-w,2025,primary_paper,Gompertz-derived growth kinetics of Salmonella enterica serovar Bareilly in prec,not in abstract,SE,not_specified,predictive_microbiology,PMID 40351709; reports mean +/- SD for mu and lag; e.g. mu=0.474+/-0.148 for eggs
01_primary,10.1016/j.jfp.2025.100512,2025,primary_paper,Modeling and Validation of the Effects of Amino Group Concentrations on the Grow,not in abstract,none_point_only,none,predictive_microbiology,PMID 40274024; Baranyi-Roberts primary; RMSE comparisons but no CIs
01_primary,10.3390/foods14050777,2025,primary_paper,Growth Rate Determination of Listeria monocytogenes in Ready-To-Eat Fish Product,not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 40077480; Baranyi-Roberts; only point mu estimates given
01_primary,10.3390/foods14040661,2025,primary_paper,"Anti-Listeria Effect of Citrus limon Peel Extract In Silico, In Vitro, and in Fe",not in abstract,none_point_only,not_specified,antimicrobial,PMID 40002105; reports 0.021/h reduction; no uncertainty
01_primary,10.1016/j.bios.2025.117260,2025,primary_paper,A 3D porous electrode for real-time monitoring of microalgal growth using EIS,custom scipy,none_point_only,none,synthetic_biology,PMID 39983293; impedance vs counting; mu compared 0.75 vs 0.85 /day; no CIs
01_primary,10.1016/j.fm.2025.104726,2025,primary_paper,Variability of growth parameter estimates - The role of rescaling and reparametr,custom scipy,bootstrap,none,predictive_microbiology,PMID 39952767; KEY METHODOLOGICAL PAPER; explicit comparison of BRM vs Gompertz error structure; argues BRM more reliable for CIs
01_primary,10.3390/foods14030532,2025,primary_paper,Effect of Nisin and Storage Temperature on Outgrowth of Bacillus cereus Spores i,not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 39942125; Baranyi + Ratkowsky; tertiary model validated; no parameter CIs
01_primary,10.1016/j.psj.2025.104767,2025,primary_paper,Identification of QTLs associated with growth curve parameters in Wenshang barre,not in abstract,not_specified,not_specified,other,PMID 39778364; chicken not microbial - off-topic
01_primary,10.3390/foods13244065,2024,primary_paper,Integrated Quality Prediction Model for Food Quality Management Based on E. coli,not in abstract,not_specified,not_specified,predictive_microbiology,PMID 39767007; uses modified Gompertz + transfer-rate equation
01_primary,10.1016/j.heliyon.2024.e40936,2024,primary_paper,"Modelling growth of two Listeria monocytogenes strains, persistent and non-persi",not in abstract,none_point_only,t_test,predictive_microbiology,PMID 39759359; significant differences at 40-43C reported p<0.05 without explicit CIs
01_primary,10.1016/j.tibtech.2024.11.007,2025,primary_paper,Guidelines for selection and application of kinetics models in bioproduction pro,not in abstract,not_specified,not_specified,predictive_microbiology,PMID 39672764; REVIEW - excluded from primary count but logged
01_primary,10.1016/j.fm.2024.104650,2025,primary_paper,PMA qPCR vs plate count for quantifying Salmonella growth in turkey breast,not in abstract,none_point_only,t_test,predictive_microbiology,PMID 39448160; Baranyi-Roberts; R2 >=0.984; mean bias -0.11 log; no parameter CIs
01_primary,10.1111/1750-3841.17362,2024,primary_paper,Linking intraspecies variability of Salmonella enterica isolates under acidic co,not in abstract,none_point_only,none,predictive_microbiology,PMID 39363210; 1002 curves per condition; OD600 turbidimetry; reports range of mu but no per-strain CIs; KEY for misspec story - huge variability classified into slow/intermediate/fast
01_primary,10.1016/j.foodres.2024.114684,2024,primary_paper,Modelling colony growth dynamics of Listeria monocytogenes single cells after ex,not in abstract,not_specified,not_specified,predictive_microbiology,PMID 39059941; time-lapse microscopy; single-cell variability documented; skewness reported
01_primary,10.3389/fmicb.2024.1360343,2024,primary_paper,Mitigating aflatoxin B1 in high-moisture sorghum silage: Aspergillus flavus grow,not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 38846571; Gompertz mu vs temperature; predictive model
01_primary,10.1016/j.ijfoodmicro.2024.110645,2024,primary_paper,Chilled Pacu fillets: Modeling Pseudomonas spp. and psychrotrophic bacteria grow,not in abstract,none_point_only,none,predictive_microbiology,PMID 38430687; Baranyi-Roberts; square root secondary R2>0.97; bias/accuracy factors 1.24-1.49
01_primary,10.1016/j.curtheres.2024.100731,2024,primary_paper,Inhibitory Effects of Heat-Killed Lactic Acid Bacterium Enterococcus faecalis on,not in abstract,not_specified,not_specified,antimicrobial,PMID 38380421; CFU counting + gingipain; no growth model mentioned but compares treatments
01_primary,10.1099/acmi.0.000742.v3,2024,primary_paper,"BactEXTRACT: R Shiny app to extract, plot and analyse bacterial growth and gene ",custom (BactEXTRACT R Shiny),not_specified,not_specified,microbiology,PMID 38361656; TOOL paper; visualization-focused
01_primary,10.1128/spectrum.03650-23,2024,primary_paper,Cultivating efficiency: high-throughput growth analysis of anaerobic bacteria in,growthcurver,none_point_only,t_test,microbiology,PMID 38501820; uses Growthcurver R; compared two readers; growth rates 'statistically indistinguishable'; arsenite dose-response
01_primary,10.3390/antibiotics13060483,2024,primary_paper,CRISPR Interference-Mediated Silencing of mmpL3 in Mycobacterium smegmatis and I,not in abstract,none_point_only,t_test,antimicrobial,PMID 38927150; reports p<0.05 for growth differences; no model named
01_primary,10.1016/j.ijantimicag.2024.107265,2024,primary_paper,Complex evolutionary trajectories of two novel KPC variants conferring CAZ/AVI r,not in abstract,not_specified,not_specified,antimicrobial,PMID 38964622; growth curves mentioned; competition assays; no model named
01_primary,10.1093/mmy/myae011,2024,primary_paper,Real-time monitoring of mycelial growth in liquid culture using hyphal dispersio,not in abstract,not_specified,not_specified,antimicrobial,PMID 38429972; antifungal screening; OD-based real-time
01_primary,10.3390/microorganisms13051125,2025,primary_paper,Comparison of In Vitro Methods for Assaying Antibacterial Activity of Natural Es,not in abstract,none_point_only,not_specified,antimicrobial,PMID 40431297; mu/lag/maxOD via curve-fitting software; emphasizes 3x3 replicates; multiple parameters but no uncertainty
01_primary,10.1093/synbio/ysaf001,2025,primary_paper,Oligonucleotide library assisted sequence mining reveals promoter sequences in C,not in abstract,not_specified,not_specified,synthetic_biology,PMID 40401050; plate reader + flow cytometry; 500 candidate promoters; no growth model mentioned
01_primary,10.1093/bioadv/vbaf038,2025,primary_paper,Welly: a web-tool for visualizing growth curves from microplate data,custom (Welly),SE,not_specified,microbiology,PMID 40092528; reports mean +/- SD of triplicates; downloads AUC and max growth rate
01_primary,10.1093/synbio/ysac010,2022,primary_paper,Multicolor plate reader fluorescence calibration,custom,not_specified,not_specified,synthetic_biology,PMID 35949424; calibration paper; supports cross-lab comparison
01_primary,10.1371/journal.pone.0276040,2022,primary_paper,Estimating microbial population data from optical density,not in abstract,none_point_only,none,microbiology,PMID 36228033; KEY paper for calibration; OD vs cells/ml relationship; 4 bacterial genera; 96- vs 384-well plates
01_primary,10.1128/spectrum.04171-25,2026,primary_paper,Development of a high-throughput growth assay using agar-based insoluble carbon ,not in abstract,not_specified,not_specified,microbiology,PMID 42059392; Cellvibrio japonicus wild-type and deletion mutants; 96-well
01_primary,10.3390/ijms27083410,2026,primary_paper,Mixing Is Dispensable for OD-Based High-Throughput Growth Screening in Fission Y,not in abstract,t_test,t_test,microbiology,PMID 42074057; doubling-time comparison; ~10% mean difference; no CIs reported
01_primary,10.1111/1751-7915.70337,2026,primary_paper,Influence of Ploidy and Genetic Background on Stress Tolerance of Intraspecific ,not in abstract,not_specified,not_specified,microbiology,PMID 41882949; 1023 yeast hybrids; high-throughput; heterosis analyses
01_primary,10.1159/000551544,2026,primary_paper,Analysis of the Helicobacter pylori proteases HP0087 and HP1037,not in abstract,none_point_only,t_test,microbiology,PMID 42085348; plate reader growth assays; mutant vs WT; significance claim without explicit model
01_primary,10.1016/j.xpro.2026.104536,2026,primary_paper,Protocol for condensate-based stabilization of gene circuit dynamics in E. coli,not in abstract,not_specified,not_specified,synthetic_biology,PMID 42090292; protocol paper; plate reader + microscopy
01_primary,10.1128/jmbe.00025-26,2026,primary_paper,Examining the relationship between ploidy and cell growth using budding yeast,not in abstract,not_specified,not_specified,microbiology,PMID 41800917; educational; OD every 20 min; doubling time calc
01_primary,10.1101/pdb.prot108687,2026,primary_paper,High-Throughput Microbial Assay for Amino Acid Measurement Using Auxotrophic E. ,not in abstract,not_specified,not_specified,microbiology,PMID 41461567; turbidity-based amino acid measurement
01_primary,10.3389/fbioe.2025.1572694,2025,primary_paper,Optimization of Candida tropicalis growth conditions on silicone elastomer by RS,not in abstract,not_specified,not_specified,microbiology,PMID 40746591; response surface methodology; biofilm + viability
01_primary,10.3389/fmicb.2025.1569217,2025,primary_paper,Real-time evaluation of antibacterial efficacy using bioluminescent assays for P,not in abstract,not_specified,not_specified,antimicrobial,PMID 40950597; bioluminescence vs MIC; significance claim
01_primary,10.1093/jac/dkaf317,2025,primary_paper,The pivotal role of acnA in linking carbon metabolism to virulence and AMR in MR,not in abstract,not_specified,not_specified,antimicrobial,PMID 40874906; mutant vs WT; MIC fold changes
01_primary,10.3389/fmicb.2025.1570764,2025,primary_paper,Combined inactivation of SOS response with TCA fumarases enhances antibiotic sus,not in abstract,not_specified,not_specified,antimicrobial,PMID 40415939; mutant collection susceptibility; ST131 validation
01_primary,10.1093/jac/dkaf121,2025,primary_paper,Detection of a novel SME-6 Carbapenemase in Serratia ureilytica,not in abstract,not_specified,not_specified,antimicrobial,PMID 40219834; growth analysis at two temperatures; lag phase reported
01_primary,10.1039/d4an01339e,2025,primary_paper,Real-time microbial growth curve (RMGC) system: improved microplate reader,not in abstract,SE,not_specified,microbiology,PMID 39902620; reports RSD 3.25% on OD; inflection point RSD 2.52%; technical reproducibility focus
01_primary,10.1128/spectrum.01346-24,2025,primary_paper,Establishment of a rapid new detection method for AST of K. pneumoniae based on ,not in abstract,not_specified,not_specified,antimicrobial,PMID 39656012; growth kinetics + MALDI-TOF; 85% agreement
01_primary,10.1016/j.jgar.2024.09.009,2024,primary_paper,Detection of carbapenem-resistant gram-negative bacilli using RAISUS S4,not in abstract,not_specified,not_specified,antimicrobial,PMID 39427990; growth curve monitoring for AST; sensitivity/specificity
01_primary,10.1016/j.jgar.2024.06.003,2024,primary_paper,Fitness cost of tet(A) type I variant-mediated tigecycline resistance,not in abstract,not_specified,not_specified,antimicrobial,PMID 38878896; growth + competition assays; fitness W=0.56
01_primary,10.1128/mbio.00781-24,2024,primary_paper,High-throughput genetics enables identification of nutrient utilization genes in,not in abstract,not_specified,not_specified,microbiology,PMID 39120137; RB-TnSeq; >100 conditions; fitness assays
01_primary,10.3390/microorganisms12081588,2024,primary_paper,A Bead Biofilm Reactor for High-Throughput Growth and Translational Applications,not in abstract,SE,not_specified,microbiology,PMID 39203430; reports averages with units
01_primary,10.1007/s00253-024-13233-z,2024,primary_paper,Ultra-High Throughput Growth Selection Assay for Amidase Activity,not in abstract,not_specified,not_specified,synthetic_biology,PMID 38910173; selection assay
01_primary,10.14715/cmb/2024.70.5.4,2024,primary_paper,The characteristics of novel Pseudomonas mendocina isolated from freshwater aqua,not in abstract,not_specified,not_specified,microbiology,PMID 38814239; microbial high-throughput growth detector used
01_primary,10.3390/molecules28145403,2023,primary_paper,Isolation of Pseudomonas oleovorans Carrying MdtA and MdtB from Wastewater,not in abstract,not_specified,not_specified,microbiology,PMID 37513278; microbial high-throughput growth detector
01_primary,10.1186/s12866-026-04795-1,2026,primary_paper,Characterization of a conjugative IncFII/IncR plasmid harboring blaKPC-2 in C. f,not in abstract,not_specified,not_specified,antimicrobial,PMID 41639778; plasmid retention assays; fitness cost mentioned
01_primary,10.1186/s12879-026-13214-9,2026,primary_paper,Time-associated phenotypic changes in S. aureus during relapsing infection,not in abstract,not_specified,not_specified,microbiology,PMID 41922994; in vitro growth measured; time-kill assays
01_primary,10.1186/s12864-025-12325-y,2025,primary_paper,Genomic evolution and stability of mcr-1-harboring IncI2 plasmid in colistin,not in abstract,not_specified,not_specified,evolution,PMID 41257606; 60-day laboratory evolution; plasmid stability assays
01_primary,10.1093/jac/dkaf337,2025,primary_paper,Rapid replacement of blaKPC variant in ST11 CR-hvKp during severe in vivo infect,not in abstract,not_specified,not_specified,antimicrobial,PMID 40973133; competition assays; growth curves implied
01_primary,10.1016/j.ijantimicag.2026.107841,2026,primary_paper,In Vivo Evolution of Tigecycline Resistance in ST540 CR-AB,not in abstract,not_specified,not_specified,evolution,PMID 42107728; fitness costs mentioned
01_primary,10.1007/s11274-026-04908-y,2026,primary_paper,Resistance associated genomic variations for tigecycline resistance in A. bauman,not in abstract,not_specified,not_specified,evolution,PMID 41933192; experimental evolution; ~20-fold MIC increase
01_primary,10.1093/evolut/qpag052,2026,primary_paper,Evolution of Thermal Performance Curves and life-history traits,not in abstract,not_specified,not_specified,evolution,PMID 41894220; 4 protist species; population growth rate curves
01_primary,10.1093/evolut/qpag027,2026,primary_paper,Addressing multi-generational non-genetic responses in experimental evolution st,not in abstract,not_specified,not_specified,evolution,PMID 41728916; methodological commentary; not primary fit paper
01_primary,10.1371/journal.pgen.1012050,2026,primary_paper,Regulatory rewiring drives intraspecies competition in Bacillus subtilis,not in abstract,not_specified,not_specified,evolution,PMID 41701782; B. subtilis competition; small differences in growth rate -> exclusion
01_primary,10.1093/evolut/qpag022,2026,primary_paper,To survive in the cold: evolution of reduced decay rate in a bacteriophage,not in abstract,not_specified,not_specified,evolution,PMID 41671162; P. fluorescens phage 20 dilution-propagation cycles
01_primary,10.1093/evlett/qraf048,2026,primary_paper,Historical contingency limits adaptive diversification in a spatially structured,not in abstract,not_specified,not_specified,evolution,PMID 41646637; E. coli evolution experiments
01_primary,10.1093/molbev/msag048,2026,primary_paper,The Genetic Architecture of Venom Resistance,not in abstract,not_specified,not_specified,evolution,PMID 41739857; experimental evolution; off-topic (Drosophila)
01_primary,10.1002/ece3.73160,2026,primary_paper,Rapid Adaptation to Road Salts in a Freshwater Microbial Eukaryote,not in abstract,not_specified,not_specified,evolution,PMID 41766734; Tetrahymena thermophila; growth rates + lag times
01_primary,10.64898/2026.03.12.711341,2026,primary_paper,Experimental Evolution of Yeast Reveals Trade-offs Between Early and Late Statio,not in abstract,not_specified,not_specified,evolution,PMID 41890125; S. cerevisiae batch culture; relative fitness measures
01_primary,10.1128/mbio.03883-25,2026,primary_paper,Disruption of methionine synthesis repressor makes E. coli mutualistic to stinkb,not in abstract,not_specified,not_specified,microbiology,PMID 41615162; gene disruption; emergence rates
02_tools,10.1186/s12859-016-1016-7,2016,tool_methods,growthcurver,growthcurver,SE,,R (CRAN),"citations:736 | Levenberg-Marquardt NLS via minpack.lm to logistic equation; SummarizeGrowth output includes k_se, n0_se, r_se (Wald-type SEs from nls covariance), plus sigma (residual SE) and df; no "
02_tools,10.1093/bioinformatics/btt291,2013,tool_methods,opm,opm,bootstrap_CI,,R (CRAN/Bioconductor-style),citations:227 | Spline-fit by default (preferred over parametric); confidence intervals available via bootstrap or via aggregating replicate groups; parametric models (logistic/Gompertz/Richards) also
02_tools,10.18637/jss.v033.i07,2010,tool_methods,grofit,grofit,bootstrap_CI,,"R (CRAN, archived)",citations:504 | Fits parametric models (logistic/Gompertz/Gompertz.exp/Richards) by NLS plus a model-free smoothing spline; bootstrap (and cross-validation) used for CIs on derived parameters lambda/m
02_tools,10.1371/journal.pone.0146021,2015,tool_methods,drc,drc,Wald_CI,,R (CRAN),"citations:3129 | NLS for nonlinear dose-response models with optional GLM-link for binomial/Poisson; confint() returns Wald-type CIs (t-dist for continuous, normal for binomial/Poisson); profile-likel"
02_tools,10.1038/ncomms13766,2016,tool_methods,fitderiv/omniplate,fitderiv/omniplate,Bayesian_CI,,Python,"citations:132 | Nonparametric Gaussian-process regression of log(OD), then analytic derivative gives growth rate with full posterior; paper shows credible bands track noise level; partial calibration:"
02_tools,10.1128/mSystems.00508-21,2021,tool_methods,AMiGA,AMiGA,Bayesian_CI,,Python,"citations:48 | Gaussian-process regression with Bayesian hyperparameter inference; default output is posterior mean and 95% credible interval for growth, derivative, lag, AUC, K; Bayes-factor hypothes"
02_tools,10.1038/s41596-023-00850-7,2023,tool_methods,QurvE,QurvE,bootstrap_CI,,R (CRAN) + Shiny,"citations:62 | Three workflows: parametric NLS (logistic/Gompertz/Richards/Huang/Baranyi), smoothing-spline first-derivative max, and Theil-Sen linear regression on sliding windows of log(OD); bootstr"
02_tools,10.18637/jss.v107.i01,2023,tool_methods,biogrowth,biogrowth,Bayesian_CI,,R (CRAN),"citations:33 | Two fitting algorithms exposed via fit_growth(): regression = NLS (point estimates plus Wald SEs from FME::modFit), MCMC = Adaptive Metropolis via FME::modMCMC; predictMCMC() and predic"
02_tools,10.1038/s41467-025-61592-6,2025,tool_methods,Kinbiont,Kinbiont,none,,Julia,"citations:3 | Multistart nonlinear optimization (k-means seeding, 50+ restarts) of ODE / hardcoded growth models; model selection by AICc; default kinbiont_fit returns point estimates and loss/AIC onl"
02_tools,10.1093/molbev/mst187,2014,tool_methods,GrowthRates,GrowthRates,SE,,C / standalone,citations:494 | Linear regression of ln(OD) over a 5-point moving window; reports the slope (max growth rate) together with the regression SE and R^2; recommends discarding fits with SE > 3% or R^2 < 
02_tools,"(CRAN package, no peer-reviewed methods paper)",2017,tool_methods,growthrates (R),growthrates (R),Wald_CI,,R (CRAN),"citations:NA (~70 via CRAN reports) | Built on FME (Soetaert and Petzoldt 2010); supports (i) linear ""easy linear"" method of Hall et al. 2014, (ii) NLS for parametric primary models (logistic/Gompertz"
02_tools,10.1002/elsc.202100108,2022,tool_methods,bletl,bletl,Bayesian_CI,,Python (PyMC),"citations:18 | Parses BioLector microbioreactor data; bletl.growth.fit_mu_t fits a Student-t-distributed random-walk model for time-varying growth rate via PyMC NUTS, plus a calibr8 calibration model "
02_tools,10.1016/0168-1605(94)90157-0,1994/2003,tool_methods,DMFit / ComBase,DMFit / ComBase,Wald_CI,,Excel add-in + Web,"citations:2593 (Baranyi & Roberts 1994 model paper) | Fits Baranyi-Roberts primary growth/survival model by nonlinear least squares; reports point estimates, parameter SEs, and 95% Wald CIs plus RMSE "
02_tools,10.1186/s12859-024-05817-3,2024,tool_methods,gcplyr,gcplyr,none,,R (CRAN),"citations:54 | Tidy-data wrangling plus model-free per-capita derivative; explicitly avoids parametric fitting; outputs point estimates of max growth rate, lag, AUC, carrying capacity from smoothed de"
02_tools,10.1186/s12859-024-05692-y,2024,tool_methods,Dashing Growth Curves,Dashing Growth Curves,SE,,Python (Dash web app),"citations:13 | Web app fitting logistic and Gompertz NLS, Easy-Linear (Hall et al), exponential approximation; uses Python ""uncertainties"" library to propagate Gaussian/Wald-type SEs on derived quanti"
02_tools,10.1128/aem.56.6.1875-1881.1990,1990,tool_methods,Zwietering et al. (foundational primary models),Zwietering et al. (foundational primary models),none,,(theory paper),"citations:4188 | Foundational paper deriving the modified-Gompertz, logistic, Richards, Schnute parameterizations in terms of biologically interpretable mu_max, lambda, A; original fits are NLS to mea"
02_tools,10.3389/fevo.2023.1313500,2023,tool_methods,"Ghenu, Marrec & Bank (review/critique)","Ghenu, Marrec & Bank (review/critique)",(reviews multiple),,(review),citations:20 | Position/review paper showing via simulations that statistical max-per-capita estimators (mu_max) systematically differ from kinetic intrinsic mu; documents that >10% of surveyed growth
02_tools,NA,(continuous),tool_methods,GraphPad Prism,GraphPad Prism,Wald_CI,,GUI (Win/Mac),"citations:(commercial, no methods paper) | Levenberg-Marquardt NLS to user-chosen model (logistic, Gompertz, exponential, user-defined); default report is best-fit values, SEs, 95% Wald (symmetric) CI"
03_prior_art,10.1016/j.fm.2025.104726,2025,prior_art,Rockaya M,,,,direct,Baranyi & Rockaya show that for the Baranyi-Roberts primary growth model the error structure after reparametrization is approximately linear so t-distribution-based standard errors give realistic conf
03_prior_art,10.1016/j.ijfoodmicro.2018.05.027,2018,prior_art,Akkermans S,,,,direct,"Tutorial benchmarking sigma-point, Monte Carlo, linearisation, and bootstrap propagation of parameter uncertainty through Baranyi-style growth models — focuses on propagation accuracy rather than freq"
03_prior_art,10.1016/j.ijfoodmicro.2018.05.027,2018,prior_art,Akkermans S,,,,supporting,Compares experimental designs for estimating growth-model parameters and quantifies the resulting parameter uncertainties.
03_prior_art,10.1016/j.ijfoodmicro.2022.110045,2023,prior_art,Garre A,,,,direct,Demonstrates that experimental detection limits and censoring induce systematic bias in fitted growth-model parameters — a misspecification of the data-generating process rather than the deterministic
03_prior_art,10.1016/j.ijfoodmicro.2023.110345,2023,prior_art,Rodriguez-Caturla MY,,,,supporting,Propagates parameter uncertainty from Gompertz-style spoilage fits to shelf-life predictions but does not validate the coverage of the resulting intervals.
03_prior_art,10.1016/j.ijfoodmicro.2022.109871,2022,prior_art,Garre A,,,,supporting,Robust estimation method for primary kinetic models when data are noisy/censored; discusses uncertainty but not coverage.
03_prior_art,10.1016/j.foodres.2020.109374,2020,prior_art,Garre A,,,,supporting,Hierarchical/multilevel growth-curve models for separating biological from measurement variability; presents parameter intervals but does not measure their frequentist coverage.
03_prior_art,10.1016/j.ijfoodmicro.2010.09.025,2011,prior_art,Pin C,,,,supporting,Classic ComBase-era growth/survival model under fluctuating conditions; provides prediction uncertainty but no coverage validation.
03_prior_art,10.1128/AEM.70.7.3925-3932.2004,2004,prior_art,Pin C,,,,supporting,Early ComBase-style validation study comparing predictions to independent data; uses RMSE-type metrics rather than CI coverage.
03_prior_art,10.1016/S0168-1605(02)00192-7,2003,prior_art,Pouillot R,,,,direct,One of the earliest applications of Bayesian MCMC to bacterial growth-curve fitting; reports credible intervals but does not check frequentist coverage or sensitivity to prior/misspecification.
03_prior_art,10.1111/j.1539-6924.2005.00665.x,2005,prior_art,Albert I,,,,supporting,Bayesian hierarchical model of Listeria growth with variability components; gives credible intervals on growth rates without coverage diagnostics.
03_prior_art,10.1016/j.ijfoodmicro.2006.01.007,2006,prior_art,Powell MR,,,,direct,Bayesian fit of Jameson-effect competition model to growth data with posterior parameter intervals — relevant Bayesian-growth-curve antecedent but no coverage analysis.
03_prior_art,10.1016/j.foodres.2017.12.033,2018,prior_art,Quinto EJ,,,,supporting,Bayesian competition growth model with prior sensitivity discussion; no coverage assessment.
03_prior_art,10.1016/j.fm.2010.06.006,2011,prior_art,Busschaert P,,,,supporting,Hierarchical Bayesian modelling of censored contamination counts; emphasises uncertainty quantification rather than calibration.
03_prior_art,10.1186/s12918-015-0204-9,2015,prior_art,Rickett LM,,,,supporting,Bayesian growth-rate estimation showing informative priors improve inference on differences — a sensitivity-to-prior result relevant to our discussion.
03_prior_art,10.1142/S0219720016500074,2016,prior_art,Gerstgrasser M,,,,supporting,Bayesian primary-model fits to phenotype microarray growth curves; quantifies posterior parameter uncertainty.
03_prior_art,10.1016/j.ijfoodmicro.2016.06.042,2017,prior_art,Longhi DA,,,,supporting,Uses OED on non-isothermal Baranyi fits to reduce parameter standard errors; assumes correct model.
03_prior_art,10.1016/j.fm.2018.05.010,2018,prior_art,Akkermans S,,,,supporting,"Compares D-/E-optimal and standard DoE for growth-model estimation; reports parameter precision (CV, SE) without coverage."
